source,psq_entity_key,id,name,vat_number,kvk_number,country,last_trx_date,activity_detail_status,merchant_activity_status,type_of_activity,contracting_method,legal_form,mcc,vintage_date,contract_status,active_contracts,contract_category_descriptions
PASS,PASS:2000658636-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000658636-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000016,70000016,AT,2025-03-24,Never transacted,Inactive,CP+CNP,F2F+NF2F,,4900,2021-10-31,Entered,,Mobility services
Way4,Way4:2000726593-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000726593-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000017,70000017,NL,2025-03-29,Active in last 12 months,Active,CP,F2F,,5411,2021-11-17,Terminated,,Retail payments
PASS,PASS:2002512094-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002512094-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000018,70000018,BE,2025-04-03,Inactive >12 months,Inactive,CNP,NF2F,,5812,2021-12-04,Active,,Hospitality terminals
Way4,Way4:2002613257-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002613257-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000019,70000019,FR,2025-04-08,Never transacted,Active,CP+CNP,F2F+NF2F,,5999,2021-12-21,Cancelled,,Digital commerce
PASS,PASS:2001541376-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001541376-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000020,70000020,LU,2025-04-13,Active in last 12 months,Inactive,CP,F2F,,5732,2022-01-07,ActiveBO,,Travel services
Way4,Way4:2001237022-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001237022-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000021,70000021,ES,2025-04-18,Inactive >12 months,Active,CNP,NF2F,,7011,2022-01-24,Entered,,Public sector
PASS,PASS:2001616414-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001616414-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000022,70000022,DE,2025-04-23,Never transacted,Inactive,CP+CNP,F2F+NF2F,,7999,2022-02-10,Terminated,,Mobility services
Way4,Way4:2000636241-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000636241-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000023,70000023,GB,2025-04-28,Active in last 12 months,Active,CP,F2F,,4121,2022-02-27,Active,,Retail payments
PASS,PASS:2000750362-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000750362-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000024,70000024,AT,2025-05-03,Inactive >12 months,Inactive,CNP,NF2F,,4900,2022-03-16,Cancelled,,Hospitality terminals
Way4,Way4:2002700254-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002700254-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000025,70000025,NL,2025-05-08,Never transacted,Active,CP+CNP,F2F+NF2F,,5411,2022-04-02,ActiveBO,,Digital commerce
PASS,PASS:2001538499-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001538499-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000026,70000026,BE,2025-05-13,Active in last 12 months,Inactive,CP,F2F,,5812,2022-04-19,Entered,,Travel services
Way4,Way4:2001221681-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001221681-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000027,70000027,FR,2025-05-18,Inactive >12 months,Active,CNP,NF2F,,5999,2022-05-06,Terminated,,Public sector
PASS,PASS:2001240201-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001240201-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000028,70000028,LU,2025-05-23,Never transacted,Inactive,CP+CNP,F2F+NF2F,,5732,2022-05-23,Active,,Mobility services
Way4,Way4:2001632223-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001632223-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000029,70000029,ES,2025-05-28,Active in last 12 months,Active,CP,F2F,,7011,2022-06-09,Cancelled,,Retail payments
PASS,PASS:2001429061-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001429061-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000030,70000030,DE,2025-06-02,Inactive >12 months,Inactive,CNP,NF2F,,7999,2022-06-26,ActiveBO,,Hospitality terminals
Way4,Way4:2000219306-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000219306-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000031,70000031,GB,2025-06-07,Never transacted,Active,CP+CNP,F2F+NF2F,,4121,2022-07-13,Entered,,Digital commerce
PASS,PASS:2002564124-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002564124-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000032,70000032,AT,2025-06-12,Active in last 12 months,Inactive,CP,F2F,,4900,2022-07-30,Terminated,,Travel services
Way4,Way4:2001141882-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001141882-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000033,70000033,NL,2025-06-17,Inactive >12 months,Active,CNP,NF2F,,5411,2022-08-16,Active,,Public sector
PASS,PASS:2001172621-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001172621-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000034,70000034,BE,2025-06-22,Never transacted,Inactive,CP+CNP,F2F+NF2F,,5812,2022-09-02,Cancelled,,Mobility services
Way4,Way4:2001263406-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001263406-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000035,70000035,FR,2025-06-27,Active in last 12 months,Active,CP,F2F,,5999,2022-09-19,ActiveBO,,Retail payments
PASS,PASS:2002545618-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002545618-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000036,70000036,LU,2025-07-02,Inactive >12 months,Inactive,CNP,NF2F,,5732,2022-10-06,Entered,,Hospitality terminals
Way4,Way4:2001380011-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001380011-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000037,70000037,ES,2025-07-07,Never transacted,Active,CP+CNP,F2F+NF2F,,7011,2022-10-23,Terminated,,Digital commerce
PASS,PASS:2001655045-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001655045-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000038,70000038,DE,2025-07-12,Active in last 12 months,Inactive,CP,F2F,,7999,2022-11-09,Active,,Travel services
Way4,Way4:2001522509-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001522509-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000039,70000039,GB,2025-07-17,Inactive >12 months,Active,CNP,NF2F,,4121,2022-11-26,Cancelled,,Public sector
PASS,PASS:2000776477-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000776477-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000040,70000040,AT,2025-07-22,Never transacted,Inactive,CP+CNP,F2F+NF2F,,4900,2022-12-13,ActiveBO,,Mobility services
Way4,Way4:2002582467-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002582467-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000041,70000041,NL,2025-07-27,Active in last 12 months,Active,CP,F2F,,5411,2022-12-30,Entered,,Retail payments
PASS,PASS:2001540183-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001540183-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000042,70000042,BE,2025-08-01,Inactive >12 months,Inactive,CNP,NF2F,,5812,2023-01-16,Terminated,,Hospitality terminals
Way4,Way4:2001184301-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001184301-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000043,70000043,FR,2025-08-06,Never transacted,Active,CP+CNP,F2F+NF2F,,5999,2023-02-02,Active,,Digital commerce
PASS,PASS:2001599099-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001599099-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000044,70000044,LU,2025-08-11,Active in last 12 months,Inactive,CP,F2F,,5732,2023-02-19,Cancelled,,Travel services
Way4,Way4:2001470452-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001470452-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000045,70000045,ES,2025-08-16,Inactive >12 months,Active,CNP,NF2F,,7011,2023-03-08,ActiveBO,,Public sector
PASS,PASS:2001654154-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001654154-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000046,70000046,DE,2025-08-21,Never transacted,Inactive,CP+CNP,F2F+NF2F,,7999,2023-03-25,Entered,,Mobility services
Way4,Way4:2001313764-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001313764-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000047,70000047,GB,2025-08-26,Active in last 12 months,Active,CP,F2F,,4121,2023-04-11,Terminated,,Retail payments
PASS,PASS:2000725007-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000725007-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000048,70000048,AT,2025-08-31,Inactive >12 months,Inactive,CNP,NF2F,,4900,2023-04-28,Active,,Hospitality terminals
Way4,Way4:2002561397-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002561397-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000049,70000049,NL,2025-09-05,Never transacted,Active,CP+CNP,F2F+NF2F,,5411,2023-05-15,Cancelled,,Digital commerce
PASS,PASS:2001178549-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001178549-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000050,70000050,BE,2025-09-10,Active in last 12 months,Inactive,CP,F2F,,5812,2023-06-01,ActiveBO,,Travel services
Way4,Way4:2001242069-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001242069-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000051,70000051,FR,2025-09-15,Inactive >12 months,Active,CNP,NF2F,,5999,2023-06-18,Entered,,Public sector
PASS,PASS:2001428324-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001428324-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000052,70000052,LU,2025-09-20,Never transacted,Inactive,CP+CNP,F2F+NF2F,,5732,2023-07-05,Terminated,,Mobility services
Way4,Way4:2001474156-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001474156-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000053,70000053,ES,2025-09-25,Active in last 12 months,Active,CP,F2F,,7011,2023-07-22,Active,,Retail payments
PASS,PASS:2001477481-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001477481-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000054,70000054,DE,2025-09-30,Inactive >12 months,Inactive,CNP,NF2F,,7999,2023-08-08,Cancelled,,Hospitality terminals
Way4,Way4:2001511833-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001511833-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000055,70000055,GB,2025-10-05,Never transacted,Active,CP+CNP,F2F+NF2F,,4121,2023-08-25,ActiveBO,,Digital commerce
PASS,PASS:2001531737-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001531737-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000056,70000056,AT,2025-10-10,Active in last 12 months,Inactive,CP,F2F,,4900,2023-09-11,Entered,,Travel services
Way4,Way4:2002501335-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002501335-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000057,70000057,NL,2025-10-15,Inactive >12 months,Active,CNP,NF2F,,5411,2023-09-28,Terminated,,Public sector
PASS,PASS:2002593353-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002593353-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000058,70000058,BE,2025-10-20,Never transacted,Inactive,CP+CNP,F2F+NF2F,,5812,2023-10-15,Active,,Mobility services
Way4,Way4:2002615128-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002615128-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000059,70000059,FR,2025-10-25,Active in last 12 months,Active,CP,F2F,,5999,2023-11-01,Cancelled,,Retail payments
PASS,PASS:2001552467-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001552467-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000060,70000060,LU,2025-10-30,Inactive >12 months,Inactive,CNP,NF2F,,5732,2023-11-18,ActiveBO,,Hospitality terminals
Way4,Way4:2001442688-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001442688-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000061,70000061,ES,2025-11-04,Never transacted,Active,CP+CNP,F2F+NF2F,,7011,2023-12-05,Entered,,Digital commerce
PASS,PASS:2000723535-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000723535-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000062,70000062,DE,2025-11-09,Active in last 12 months,Inactive,CP,F2F,,7999,2023-12-22,Terminated,,Travel services
Way4,Way4:2000991637-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2000991637-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000063,70000063,GB,2025-11-14,Inactive >12 months,Active,CNP,NF2F,,4121,2024-01-08,Active,,Public sector
PASS,PASS:2002567441-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002567441-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000064,70000064,AT,2025-11-19,Never transacted,Inactive,CP+CNP,F2F+NF2F,,4900,2024-01-25,Cancelled,,Mobility services
Way4,Way4:2002614385-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002614385-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000065,70000065,NL,2025-11-24,Active in last 12 months,Active,CP,F2F,,5411,2024-02-11,ActiveBO,,Retail payments
